"Waco, TX Pricing",,,,,,,
Trash ONLY - No Recycling,,,,,,,
City of Waco Franchise Fee - 4%,,,,,,,
,,,,,,,
Front Load Dumpster,,,,,,,
Container Size,1x,2x,3x,4x,5x,6x,Extra Pickups
2 YD,$72,$132,n/a,n/a,n/a,n/a,$100
3 YD,$82,$152,$222,$292,$362,$467,$100
4 YD,$92,$172,$252,$332,$412,$532,$100
6 YD,$126,$252,$378,$480,$630,$875,$100
8 YD,$168,$336,$504,$666,$840,"$1,170",$100
VIP,$350,$616,$882,"$1,148","$1,400","$1,848",$150
,,,,,,,
Extra's,,,,,,,
Lock Bar Install,,$125/ Install ,,,,,
Lock Bar,,$20/ Month,,,,,
Casters Install,,$125/ Install ,,,,,
Casters,,$10/ Frequency,,,,,
Delivery,,$100,,,,,
Swap / Removal,,$100,,,,,